Collection Code,Collection Title,Institution,Administration Level,Resource Type,Editor,Status,Published Records,Source website,Image or Web Service,GBL Link,Portal Type,Original Metadata,OGM
01d-01,Indiana Historic Maps,Indiana,d University,Maps,Omeka,Published,314,http://webapp1.dlib.indiana.edu/images/splash.htm?scope=IUBMaps,none,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Indiana+Historic+Maps&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,Other,MARC,TRUE
03d-01,Iowa Historical County Atlases,Iowa,d University,Maps,Omeka,Published,250,http://digital.lib.uiowa.edu/cdm/landingpage/collection/atlases,15 have Esri Map Server,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Iowa+Counties+Historic+Atlases&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,CONTENTdm,Dublin Core,TRUE
03d-02,Hixson Plat Map Atlases of Iowa,Iowa,d University,Maps,Omeka,Published,93,http://digital.lib.uiowa.edu/cdm/landingpage/collection/hixson,none,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Hixson+Plat+Map+Atlases+of+Iowa&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,CONTENTdm,Dublin Core,TRUE
04d-01,University of Maryland Digital Collections,Maryland,d University,Maps,Omeka,Published,35,https://www.lib.umd.edu/mdmap/?pid=umd:57340,IIIF,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=University+of+Maryland+Digital+Collections&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,Other,Dublin Core,TRUE
05d-01,John R. Borchert Map Library,Minnesota,d University,Maps,Omeka,Published,624,http://umedia.lib.umn.edu/,IIIF,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=John+R.+Borchert+Map+Library&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,Other,MARC+Dublin Core,TRUE
06d-01,Michigan State University Libraries Maps,Michigan State,d University,Maps,Omeka,Published,127,https://lib.msu.edu/branches/map/scannedmaps/intro/,none,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Michigan+State+University+Map+Library,Other,MARC,TRUE
07d-01,Clark Library Scanned Maps,Michigan,d University,Maps,Omeka,Published,802,https://quod.lib.umich.edu/c/clark1ic?page=index,IIIF,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Clark+Library+Map+Collections&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,Other,Dublin Core,TRUE
08d-01,Penn State Rare Maps,Penn State,d University,Maps,Omeka,Published,331,https://libraries.psu.edu/about/collections/digital-map-drawer,none,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Penn+State+Rare+Maps&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,CONTENTdm,MARC + Dublin Core,FALSE
08d-02,Sanborn Maps from Penn State,Penn State,d University,Maps,Omeka,Published,"1,099",https://libraries.psu.edu/about/collections/sanborn-fire-insurance-maps,none,https://geo.btaa.org/?f%5Bdct_isPartOf_sm%5D%5B%5D=Sanborn+Fire+Insurance+Maps&f%5Blayer_geom_type_s%5D%5B%5D=Paper+Map&q=&search_field=all_fields,CONTENTdm,Dublin Core,FALSE
,,,,,,,,,,,,,
,,,,,,,3675,,,,,,